inventory_id,product_id,warehouse_id,quantity_on_hand,quantity_reserved
608,105,2,753,0
609,105,3,368,1
610,105,4,1283,147
611,106,7,819,148
612,107,3,1168,104
613,107,6,499,179
614,107,2,1218,114
615,107,9,309,182
616,107,5,739,173
617,107,10,1609,119
618,107,1,966,1
619,107,4,1929,37
620,108,1,715,135
621,108,9,852,57
622,108,7,1411,111
623,108,5,888,97
624,108,8,1646,82
625,108,4,1052,113
626,108,2,1551,45
627,108,6,738,47
628,108,3,362,80
629,109,1,635,65
630,109,5,887,95
631,109,8,732,88
632,109,3,1669,14
633,109,7,519,156
634,109,6,955,67
635,109,9,1130,188
636,110,4,92,71
637,110,8,975,93
638,110,3,1481,174
639,111,3,288,192
640,111,9,1290,178
641,111,4,1524,101
642,111,8,462,13
643,111,7,94,35
644,112,2,176,112
645,112,5,249,144
646,112,7,1573,2
647,113,9,541,120
648,113,4,478,180
649,113,5,479,42
650,113,2,1014,96
651,113,8,1893,10
652,113,7,154,40
653,113,6,238,144
654,113,10,359,84
655,113,1,1395,27
656,113,3,1902,110
657,114,7,1042,192
658,114,8,1220,151
659,114,10,204,22
660,114,2,944,8
661,114,9,47,27
662,114,6,145,30
663,114,1,59,23
664,115,4,975,123
665,115,8,281,26
666,115,10,828,84
667,116,6,218,175
668,116,3,61,5
669,116,5,415,31
670,116,1,1173,88
671,116,9,496,102
672,117,6,1564,147
673,117,8,1283,73
674,117,5,1491,126
675,118,3,736,186
676,119,8,619,29
677,119,9,32,5
678,119,7,571,1
679,119,1,320,83
680,119,2,20,7
681,119,4,1924,1
682,119,5,506,119
683,119,3,1972,42
684,119,10,60,37
685,119,6,242,172
686,120,9,1676,47
687,120,3,385,196
688,120,6,1758,16
689,120,10,1754,196
690,120,1,619,112
691,120,8,224,118
692,120,4,1620,14
693,120,5,608,147
694,120,2,724,23
695,121,4,1681,176
696,121,1,264,102
697,121,10,454,90
698,121,6,72,38
699,121,8,280,113
700,122,2,910,12
701,122,5,1779,165
702,123,3,1389,143
703,123,7,962,40
704,123,5,1974,123
705,124,4,241,133
706,125,9,860,19
707,125,2,1204,146
708,125,6,1447,7
709,125,4,24,5
710,125,7,527,135
711,125,3,548,176
712,125,5,1432,48
713,125,8,475,122
714,125,1,217,177
715,126,5,1485,188
716,126,1,1583,125
717,126,7,228,85
718,126,2,385,54
719,126,9,1818,35
720,126,4,853,3
721,126,3,1174,35
722,127,6,1888,46
723,127,1,1292,134
724,127,4,1455,97
725,127,5,105,68
726,127,10,340,194
727,127,8,1086,126
728,128,8,869,71
729,128,5,324,196
730,128,1,36,0
731,128,4,1626,193
732,128,6,1229,113
733,128,7,377,28
734,128,2,1071,148
735,128,9,276,140
736,129,10,1312,116
737,129,4,1499,49
738,129,9,438,8
739,129,1,1961,182
740,130,9,1564,132
741,130,1,1047,5
742,130,8,1058,161
743,130,4,1555,182
744,131,9,395,28
745,131,7,273,188
746,131,3,1882,19
747,132,1,405,41
748,132,8,575,40
749,132,2,207,176
750,132,10,666,49
751,132,5,1246,14
752,133,6,146,12
753,133,2,1387,159
754,133,9,90,66
755,133,1,329,151
756,133,5,228,128
757,133,4,1074,67
758,134,2,1348,65
759,134,5,900,68
760,134,8,1250,68
761,134,7,185,164
762,134,9,203,95
763,134,6,1326,87
764,134,3,1692,120
765,134,4,1499,130
766,134,10,1382,24
767,135,5,690,169
768,135,9,558,40
769,135,3,1999,72
770,135,1,369,51
771,135,8,1016,141
772,135,7,1834,57
773,135,2,945,160
774,136,9,757,165
775,137,5,487,51
776,137,8,186,28
777,137,7,201,143
778,137,6,1630,39
779,138,7,1868,61
780,138,8,1585,37
781,138,5,1603,33
782,139,8,1892,143
783,139,7,267,157
784,139,9,162,38
785,139,2,1991,134
786,139,1,1799,47
787,139,3,757,176
788,139,4,1830,152
789,139,10,1346,36
790,139,5,365,142
791,140,10,1774,90
792,140,9,3,2
793,140,2,24,5
794,140,1,1265,42
795,140,3,280,169
796,141,10,965,1
797,141,4,1358,198
798,141,9,1388,143
799,142,3,506,148
800,143,1,1098,14
801,143,3,87,48
802,143,6,1364,45
803,144,10,568,19
804,144,1,705,152
805,144,3,137,45
806,144,7,1461,161
807,144,4,1164,101
808,144,6,280,137
809,145,5,1025,35
810,145,2,1979,37
811,145,8,1424,173
812,146,5,906,6
813,146,1,892,10
814,146,10,619,23
815,146,8,890,132
816,146,4,985,164
817,146,7,1769,15
818,146,9,195,129
819,146,6,1524,195
820,146,3,5,4
821,147,7,1237,5
822,148,4,835,193
823,148,2,1633,90
824,148,10,1836,10
825,148,6,1341,95
826,148,1,1344,44
827,148,7,702,62
828,148,5,1788,13
829,148,8,1470,59
830,149,4,968,154
831,149,9,1034,175
832,149,6,15,7
833,149,3,171,135
834,150,4,906,165
835,150,5,1988,67
836,150,8,1397,174
837,150,2,1452,47
838,151,7,286,90
839,151,8,681,19
840,151,10,110,24
841,151,3,660,152
842,151,1,610,48
843,151,4,703,70
844,151,2,435,179
845,151,6,538,55
846,151,5,1785,157
847,152,9,713,136
848,152,3,460,113
849,152,6,1917,15
850,152,4,46,44
851,152,8,1633,123
852,153,7,341,18
853,153,9,1440,0
854,153,2,1286,51
855,153,8,1442,50
856,153,10,151,52
857,153,5,1368,111
858,153,6,1391,9
859,153,3,899,8
860,153,1,183,98
861,154,2,1932,166
862,154,10,291,44
863,154,8,223,78
864,154,6,21,18
865,154,3,1900,187
866,154,4,1938,61
867,154,1,916,130
868,154,7,1229,73
869,155,8,345,42
870,155,4,1380,160
871,155,10,1415,88
872,155,3,546,102
873,155,9,1330,31
874,155,6,646,195
875,155,2,1879,49
876,156,2,790,114
877,156,7,193,114
878,156,10,712,5
879,156,6,1571,20
880,156,1,543,15
881,157,8,1747,63
882,157,9,551,73
883,157,2,1128,100
884,157,3,253,150
885,157,4,448,186
886,157,1,1282,9
887,157,10,100,76
888,157,6,1147,73
889,157,5,1635,169
890,157,7,1117,177
891,158,6,703,199
892,158,7,202,146
893,158,9,1149,6
894,158,2,210,47
895,159,8,1034,22
896,159,7,61,51
897,159,5,1358,116
898,160,1,140,103
899,160,9,1874,50
900,160,3,1122,142
901,160,2,1610,137
902,160,6,1799,15
903,160,5,1615,146
904,160,8,1995,176
905,161,9,510,32
906,161,10,1849,177
907,161,4,1862,157
908,161,3,1706,64
909,161,2,687,54
910,161,8,515,168
911,161,5,143,67
912,162,6,601,121
913,162,4,612,117
914,162,2,34,20
915,163,4,355,74
916,163,10,269,66
917,163,9,1539,64
918,163,7,1381,160
919,163,5,1777,154
920,163,8,1160,83
921,163,3,1576,85
922,164,9,1887,76
923,164,7,48,28
924,164,10,663,141
925,164,8,876,182
926,164,4,1187,95
927,164,5,1145,196
928,164,2,276,22
929,165,1,1584,102
930,165,9,387,135
931,165,5,1314,123
932,166,6,1665,199
933,166,4,182,152
934,166,10,1118,130
935,166,1,882,77
936,166,5,21,18
937,166,2,68,15
938,166,3,78,20
939,166,8,1919,177
940,166,7,543,23
941,167,3,151,56
942,167,2,861,13
943,168,2,1555,67
944,168,9,900,8
945,168,10,748,42
946,168,3,820,74
947,168,1,538,171
948,169,5,1878,124
949,169,9,140,36
950,169,10,761,82
951,169,1,1935,19
952,169,8,1298,147
953,169,3,1964,194
954,169,7,99,23
955,170,4,1599,199
956,171,2,893,8
957,171,5,1124,84
958,171,7,1231,168
959,171,9,647,167
960,171,3,692,37
961,171,6,1928,168
962,172,4,525,101
963,172,6,1168,138
964,172,7,1070,45
965,172,3,1695,65
966,172,9,1961,190
967,172,1,426,172
968,173,2,263,32
969,173,8,1680,102
970,173,7,1540,1
971,173,9,1125,181
972,173,1,1109,116
973,173,3,10,10
974,173,6,1591,50
975,173,10,439,52
976,174,5,1573,139
977,174,8,317,36
978,174,2,213,188
979,174,6,923,179
980,174,3,1211,157
981,174,4,1358,131
982,174,1,501,134
983,174,10,785,133
984,175,2,182,31
985,175,7,977,134
986,175,8,1896,23
987,176,5,903,197
988,176,6,820,86
989,176,2,11,8
990,176,8,978,14
991,176,10,1749,120
992,176,1,377,73
993,176,4,1060,62
994,176,9,1684,168
995,177,1,816,170
996,177,6,1947,133
997,177,7,638,103
998,177,8,1352,96
999,177,5,35,0
1000,177,2,1588,56
1001,177,10,836,153
1002,178,2,1813,38
1003,178,9,295,47
1004,178,6,1821,94
1005,178,8,694,70
1006,178,4,1034,6
1007,178,10,1966,28
1008,178,5,879,140
1009,178,1,1790,46
1010,178,7,753,200
1011,179,5,845,167
1012,179,10,687,97
1013,179,3,1181,194
1014,179,9,565,168
1015,179,8,1613,187
1016,179,4,706,186
1017,179,1,1146,24
1018,180,8,212,7
1019,180,2,1091,46
1020,180,3,1619,30
1021,180,4,335,170
1022,180,7,233,27
1023,180,1,1391,21
1024,180,9,381,184
1025,180,10,1730,177
1026,180,6,1622,89
1027,180,5,1933,17
1028,181,2,1177,188
1029,181,5,1453,156
1030,181,6,1332,129
1031,181,4,55,14
1032,181,10,900,89
1033,181,3,1767,110
1034,181,9,1472,147
1035,181,1,443,17
1036,181,7,837,33
1037,181,8,524,85
1038,182,4,466,12
1039,182,2,1532,107
1040,182,8,248,25
1041,183,3,474,122
1042,183,2,362,100
1043,183,10,333,30
1044,183,8,556,105
1045,183,1,981,39
1046,183,7,1998,44
1047,184,4,449,3
1048,184,9,1982,77
1049,184,10,1274,124
1050,184,3,1026,1
1051,184,2,631,63
1052,184,8,1730,67
1053,185,4,1466,101
1054,185,9,566,47
1055,185,5,970,162
1056,185,6,674,126
1057,185,7,1051,75
1058,185,8,1717,60
1059,185,2,671,162
1060,186,3,1365,67
1061,186,4,1400,76
1062,186,7,339,87
1063,186,9,105,78
1064,186,5,1288,185
1065,186,8,1293,103
1066,186,1,1587,169
1067,186,6,1560,161
1068,187,8,1287,164
1069,187,3,1919,123
1070,187,6,400,105
1071,187,2,1952,164
1072,188,6,1429,132
1073,189,10,1781,112
1074,189,4,810,93
1075,190,4,1035,132
1076,190,7,985,35
1077,190,6,1359,7
1078,190,9,264,195
1079,191,5,1896,105
1080,191,4,1760,153
1081,191,2,1881,113
1082,191,9,1789,191
1083,191,6,1159,110
1084,192,4,299,17
1085,193,2,455,10
1086,193,10,1764,61
1087,193,4,767,172
1088,193,3,378,148
1089,193,6,1748,179
1090,194,1,183,165
1091,194,5,1854,167
1092,194,3,927,63
1093,194,6,1012,85
1094,194,7,1865,196
1095,195,7,717,138
1096,195,2,1092,60
1097,195,5,1581,58
1098,195,8,1381,116
1099,195,4,944,44
1100,195,9,1037,175
1101,195,3,1011,74
1102,195,1,545,111
1103,195,6,1161,157
1104,196,8,1741,136
1105,196,6,300,163
1106,196,7,1009,108
1107,196,3,963,43
1108,197,2,938,24
1109,197,9,166,122
1110,197,4,1899,63
1111,197,8,886,138
1112,197,10,1876,182
1113,197,7,990,74
1114,197,5,1752,101
1115,198,9,267,106
1116,198,8,1792,199
1117,198,6,760,63
1118,198,3,1178,128
1119,198,5,824,26
1120,199,6,976,186
1121,199,2,1049,199
1122,199,7,763,32
1123,199,1,1716,16
1124,199,8,1199,54
1125,200,4,846,39
1126,200,7,1485,179
1127,200,9,419,190
1128,200,3,1943,162
1129,201,4,1282,165
1130,201,1,1215,196
1131,201,5,1992,27
1132,201,6,1,0
1133,201,8,1631,56
1134,201,7,1673,84
1135,201,9,24,0
1136,201,10,658,123
1137,201,2,1456,157
1138,201,3,1565,111
1139,202,3,1920,107
1140,202,5,862,117
1141,203,8,248,162
1142,203,9,195,135
1143,203,7,471,122
1144,203,5,80,27
1145,203,4,1925,110
1146,204,2,1984,118
1147,205,5,572,2
1148,205,3,929,139
1149,205,1,69,46
1150,205,2,428,100
1151,205,7,833,85
1152,205,9,1974,197
1153,205,10,1850,68
1154,206,4,74,41
1155,206,3,652,35
1156,206,8,602,187
1157,206,7,1204,176
1158,206,5,906,121
1159,206,9,65,43
1160,206,1,889,31
1161,206,10,1704,16
1162,206,2,1231,25
1163,207,4,989,38
1164,207,1,834,121
1165,207,8,1870,47
1166,208,1,1308,22
1167,208,8,922,96
1168,208,9,149,29
1169,208,5,983,27
1170,208,3,1134,34
1171,208,2,1631,28
1172,209,8,302,15
1173,209,10,1006,62
1174,209,3,1209,60
1175,209,5,1325,66
1176,209,7,835,56
1177,209,6,1778,150
1178,209,4,256,178
1179,210,1,1272,16
1180,210,7,742,40
1181,210,4,1709,74
1182,210,10,965,144
1183,210,5,792,134
1184,210,6,722,57
1185,210,9,371,52
1186,210,8,1400,188
1187,211,7,1924,1
1188,211,8,231,25
1189,211,1,315,195
1190,211,3,49,8
1191,211,6,7,0
1192,211,2,1943,118
1193,211,4,664,35
1194,211,9,847,46
1195,211,5,82,59
1196,212,10,384,31
1197,212,3,1608,67
1198,212,2,1093,58
1199,212,8,375,66
1200,212,5,463,109
1201,212,9,1575,96
1202,213,8,166,19
1203,213,10,1876,130
1204,213,9,1798,151
1205,213,4,1206,65
1206,213,3,1525,190
1207,213,2,568,110
1208,213,6,1227,16
1209,214,8,178,60
1210,214,4,1544,87
1211,214,2,1192,86
1212,215,2,708,42
1213,215,6,1713,76
1214,215,9,951,92
1215,215,10,1311,166
1216,215,5,477,84
1217,216,7,1769,143
1218,216,3,549,53
1219,216,2,1182,114
1220,216,6,818,107
1221,216,4,140,85
1222,217,4,985,170
1223,217,1,702,18
1224,217,10,204,3
1225,218,2,1063,61
1226,218,6,1714,104
1227,218,3,1091,31
1228,218,10,9,8
1229,218,9,259,25
1230,218,8,708,37
1231,218,1,1753,88
1232,218,4,1863,185
1233,219,1,200,16
1234,219,7,1784,137
1235,219,9,449,19
1236,219,4,1380,8
1237,219,8,1621,69
1238,219,10,1108,8
1239,219,6,1372,160
1240,219,3,1914,20
1241,219,5,555,156
1242,220,7,1173,179
1243,220,2,1367,187
1244,220,4,426,34
1245,220,9,1464,148
1246,220,1,449,52
1247,220,8,1048,99
1248,220,6,239,30
1249,220,10,423,66
1250,220,5,151,75
1251,220,3,1617,149
1252,221,8,1312,44
1253,221,4,259,43
1254,221,9,1592,61
1255,221,5,1761,125
1256,221,1,460,17
1257,222,8,1540,45
1258,222,7,1659,118
1259,222,9,1944,184
1260,222,5,1188,21
1261,222,2,730,139
1262,222,4,323,66
1263,222,3,1148,178
1264,222,6,1465,103
1265,223,8,101,14
1266,224,7,1663,144
1267,224,3,666,77
1268,224,10,1867,167
1269,225,9,439,140
1270,225,6,1112,166
1271,225,2,1315,70
1272,225,8,163,3
1273,225,1,1351,121
1274,225,7,783,107
1275,225,10,1346,65
1276,225,5,636,86
1277,225,3,1244,88
1278,225,4,1572,176
1279,226,4,1640,120
1280,226,5,742,169
1281,227,2,1536,59
1282,227,1,142,82
1283,227,6,925,64
1284,227,10,438,165
1285,227,8,1678,66
1286,227,7,1168,131
1287,228,9,1707,155
1288,228,8,259,46
1289,228,2,48,3
1290,228,7,15,0
1291,228,5,278,166
1292,228,3,1903,49
1293,228,10,1737,127
1294,229,5,838,122
1295,230,7,1345,149
1296,230,3,1585,166
1297,230,2,1234,174
1298,230,10,1066,189
