po_item_id,po_id,product_id,quantity_ordered,quantity_received,unit_cost
109,31,3271,175,175,257.58
110,31,1219,222,222,91.18
111,31,3677,149,149,63.77
112,32,3086,231,231,379.63
113,33,3932,447,447,211.57
114,34,2273,53,53,390.82
115,34,332,459,459,215.2
116,35,392,234,234,489.5
117,35,824,128,128,415.48
118,36,469,339,339,222.9
119,36,952,315,315,11.4
120,36,2542,49,49,321.9
121,36,3422,368,368,69.88
122,36,3168,241,241,195.65
123,37,4842,109,109,119.22
124,37,4241,22,22,32.5
125,37,1083,26,26,369.56
126,37,3917,207,207,439.51
127,37,768,170,170,5.21
128,37,3076,476,476,110.14
129,38,3521,116,116,251.73
130,38,110,147,147,476.15
131,38,2439,266,266,437.5
132,39,564,64,64,399.18
133,40,4369,397,397,102.64
134,40,4544,498,498,82.32
135,40,831,410,410,72.84
136,40,2727,181,181,399.44
137,40,3674,291,291,5.55
138,40,481,40,40,462.12
139,41,243,479,0,277.24
140,41,2454,231,0,142.6
141,41,3049,369,0,364.16
142,41,4555,402,0,133.31
143,41,3130,494,0,226.16
144,42,2580,97,97,57.95
145,43,1504,283,283,114.31
146,43,4247,225,225,97.43
147,43,1122,177,177,288.43
148,43,1441,213,213,52.62
149,44,479,436,0,295.22
150,44,4111,394,0,213.32
151,44,3226,27,0,40.2
152,44,595,137,0,192.59
153,44,3990,162,0,306.6
154,44,1359,453,0,133.39
155,45,4748,412,412,356.52
156,45,3704,65,65,59.71
157,45,4618,23,23,179.77
158,45,3615,59,59,396.65
159,45,4755,232,232,409.6
160,46,3192,158,158,401.2
161,46,2781,174,174,397.61
162,47,4273,464,0,415.33
163,47,1009,268,0,238.7
164,47,3672,472,0,58.96
165,47,2420,448,0,192.2
166,47,648,244,0,314.21
167,48,4698,409,409,36.67
168,48,4153,68,68,55.17
169,49,268,329,329,261.31
170,49,3922,120,120,210.34
171,49,798,36,36,190.3
172,50,2557,394,394,264.93
173,50,1349,142,142,96.37
174,50,3183,406,406,233.1
175,50,4780,33,33,187.32
176,50,622,112,112,155.17
177,51,1622,164,164,498.52
178,51,730,98,98,210.2
179,51,384,350,350,165.98
180,52,1063,276,0,115.87
181,52,2182,485,0,11.59
182,53,1095,37,37,2.56
183,53,26,309,309,312.34
184,53,2927,74,74,163.41
185,54,1121,454,454,77.81
186,54,3852,174,174,65.5
187,54,1957,142,142,371.4
188,54,4550,68,68,162.25
189,54,1713,386,386,212.6
190,55,2683,491,0,268.77
191,55,2174,387,0,58.15
192,55,2995,188,0,211.65
193,55,215,354,0,340.41
194,55,1318,199,0,384.95
195,56,2276,202,202,429.2
196,57,4809,219,219,83.26
197,57,4802,43,43,140.57
198,57,2751,393,393,18.34
199,57,4699,388,388,280.7
200,58,1523,493,493,379.12
201,58,4599,214,214,65.77
202,58,3824,359,359,371.5
203,58,4669,181,181,146.44
204,58,331,41,41,131.54
205,59,2891,128,128,193.48
206,59,533,96,96,414.85
207,60,3230,141,141,485.83
208,60,1629,95,95,295.94
209,60,3847,290,290,54.21
210,60,4498,492,492,15.79
211,60,695,99,99,422.24
212,61,2948,161,161,57.57
213,61,3069,424,424,258.54
214,61,4975,366,366,92.18
215,62,4527,439,137,24.33
216,63,4635,434,434,54.4
217,63,4569,472,472,479.72
218,63,2581,319,319,288.53
219,64,3340,441,441,497.75
220,64,378,277,277,370.56
221,64,4920,460,460,34.11
222,64,3406,281,281,312.55
223,64,473,429,429,486.51
224,65,1860,463,463,203.37
225,65,1354,30,30,311.4
226,65,3242,208,208,330.6
227,65,2580,312,312,57.95
228,65,2910,407,407,193.78
229,65,3296,315,315,429.53
230,66,2749,125,0,70.54
231,66,4116,120,0,208.1
232,66,3100,405,0,289.45
233,66,1975,171,0,483.7
234,67,3193,396,396,108.82
235,67,4705,430,430,337.24
236,67,3520,332,332,119.8
237,67,4918,112,112,44.78
238,68,758,249,17,120.52
239,69,42,258,258,74.0
240,69,1069,267,267,278.42
241,69,3908,180,180,223.85
242,69,4087,189,189,8.62
243,69,2355,352,352,121.8
244,69,4516,123,123,264.4
245,70,646,352,352,392.28
246,70,2591,500,500,135.45
247,70,613,391,391,359.66
248,71,858,311,0,442.63
249,71,399,499,0,469.65
250,72,676,258,258,76.95
251,72,2069,354,354,211.9
252,72,2129,76,76,149.7
253,72,4587,267,267,322.7
254,72,1417,261,261,41.26
255,72,3328,380,380,177.8
256,73,4842,359,359,119.22
257,74,3267,27,27,248.1
258,74,114,180,180,408.98
259,74,295,34,34,385.82
260,74,1520,366,366,118.64
261,74,3540,326,326,385.86
262,74,2051,114,114,198.11
263,75,2768,242,242,236.23
264,75,152,477,477,339.18
265,75,3145,439,439,208.47
266,76,2516,342,342,405.37
267,76,4322,321,321,152.24
268,76,2795,169,169,350.15
269,76,4026,319,319,104.66
270,76,1415,345,345,454.19
271,77,1868,35,35,405.25
272,77,1593,123,123,344.46
273,77,3202,57,57,157.5
274,77,4909,98,98,140.13
275,77,2868,50,50,272.34
276,78,1911,337,337,261.64
277,78,844,401,401,11.71
278,78,3332,76,76,254.68
279,78,2264,464,464,250.9
280,78,4270,100,100,225.5
281,78,1705,472,472,8.62
282,79,4453,124,124,206.92
283,80,3179,456,456,250.81
284,80,2458,302,302,481.32
285,80,1759,393,393,128.55
286,81,1312,425,425,55.1
287,81,2725,421,421,336.1
288,81,4403,269,269,133.26
289,81,3757,372,372,28.49
290,81,154,70,70,468.86
291,82,3697,402,402,489.7
292,82,4197,344,344,318.11
293,82,26,306,306,312.34
294,82,3609,411,411,46.43
295,82,607,133,133,257.4
296,82,981,241,241,460.96
297,83,4245,208,208,332.55
298,83,4679,322,322,172.41
299,83,3524,27,27,382.32
300,84,809,237,237,161.77
301,84,1633,89,89,290.23
302,84,3091,326,326,150.97
303,84,4530,236,236,322.0
304,85,1412,205,205,105.2
305,86,2818,225,225,403.67
306,86,4687,463,463,257.6
307,87,4458,246,246,384.32
308,87,2909,468,468,252.93
309,87,4198,457,457,390.44
310,87,27,36,36,452.65
311,87,813,146,146,268.68
312,88,1435,136,136,281.98
313,88,4383,67,67,380.52
314,89,4255,431,431,15.73
315,90,4235,191,191,315.69
316,90,4430,398,398,58.94
317,90,2455,165,165,491.81
318,90,5000,26,26,447.48
319,90,4985,344,344,239.19
320,91,1213,90,0,308.5
321,91,4571,184,0,159.86
322,91,2377,22,0,205.95
323,91,3580,251,0,294.28
324,92,2625,412,412,159.51
325,92,1529,236,236,174.4
326,93,3970,330,330,238.47
327,93,1178,199,199,317.23
328,93,3041,210,210,482.19
329,94,20,282,6,324.95
330,94,2851,214,134,129.11
331,95,4020,499,499,480.74
332,95,902,240,240,239.44
333,95,2184,166,166,267.91
334,96,4130,194,194,305.7
335,96,260,156,156,337.6
336,96,398,453,453,132.77
337,96,3371,379,379,29.43
338,96,733,279,279,447.88
339,96,4345,40,40,102.34
340,97,4306,448,0,354.62
341,97,3201,73,0,16.54
342,97,2940,206,0,265.5
343,97,1842,374,0,3.7
344,97,2119,140,0,74.52
345,97,1260,393,0,190.89
346,98,2095,132,132,331.97
347,99,726,252,252,443.59
348,99,1323,479,479,262.92
349,99,957,313,313,254.81
350,99,1556,36,36,101.86
351,100,4661,353,353,387.85
352,100,1156,185,185,31.48
353,100,3216,471,471,129.74
354,101,123,318,318,147.2
355,101,404,499,499,6.28
356,101,154,152,152,468.86
357,101,3625,263,263,183.63
358,101,4827,158,158,181.57
359,101,513,212,212,462.59
360,102,987,483,242,360.33
361,102,3528,243,64,450.92
362,102,4975,368,343,92.18
363,102,4965,433,231,487.25
364,102,3478,403,224,141.5
365,103,1565,211,211,493.16
366,103,3707,133,133,430.46
367,103,3533,135,135,308.11
368,103,1589,127,127,400.96
369,103,1943,484,484,202.8
370,103,2347,49,49,473.1
371,104,2411,467,467,8.26
372,104,4473,340,340,36.33
373,104,4936,207,207,472.62
374,104,3060,308,308,243.19
375,104,4306,367,367,354.62
376,104,3977,68,68,31.42
377,105,186,74,74,349.36
378,106,1781,27,27,292.77
379,106,4379,180,180,350.58
380,106,3031,335,335,405.37
381,106,4578,141,141,89.35
382,107,2966,63,63,351.74
383,107,2692,297,297,297.45
384,107,2348,451,451,160.39
385,107,993,389,389,244.1
386,108,810,247,0,117.29
387,108,1091,10,0,114.17
388,108,659,414,0,441.55
389,108,1657,175,0,72.24
390,108,1936,34,0,431.24
391,108,4512,40,0,491.27
392,109,90,435,291,491.1
393,109,2302,228,155,375.88
394,110,963,419,419,50.69
395,111,218,68,68,118.8
396,111,2780,358,358,163.29
397,111,19,170,170,382.99
398,112,1691,442,442,243.86
399,112,3879,408,408,346.97
400,112,2414,395,395,365.5
401,112,1168,12,12,220.62
402,113,1167,355,355,274.72
403,114,3406,128,128,312.55
404,114,2646,43,43,387.87
405,114,3403,345,345,391.4
406,114,905,332,332,420.99
407,114,2398,365,365,292.62
408,115,1396,299,299,320.11
409,115,3108,474,474,136.85
410,115,1512,275,275,339.49
411,116,2034,463,463,424.26
412,116,3057,190,190,28.6
413,116,1630,307,307,299.27
414,117,2042,94,94,96.93
415,117,3181,161,161,124.32
416,118,2199,439,439,203.97
417,118,3592,420,420,284.98
418,119,2085,431,431,245.49
419,119,3529,293,293,103.5
420,119,3030,344,344,163.5
421,119,4673,409,409,318.74
422,119,3454,445,445,111.94
423,120,4360,235,235,172.7
424,120,3613,96,96,225.83
425,121,2466,24,24,459.2
426,121,3896,41,41,384.93
427,121,4120,23,23,459.19
428,121,1021,203,203,56.1
429,121,2086,273,273,492.61
430,121,3922,338,338,210.34
431,122,3052,267,267,376.17
432,122,4048,255,255,325.95
433,123,1764,311,311,400.34
434,123,3461,403,403,117.11
435,123,4589,151,151,222.41
436,123,3783,38,38,191.49
437,123,1780,56,56,57.21
438,123,731,279,279,187.14
439,124,2248,388,388,494.74
440,124,2885,46,46,280.64
441,124,2244,359,359,418.9
442,124,1748,13,13,208.4
443,124,4789,457,457,104.84
444,125,1353,401,401,294.46
445,125,4228,255,255,274.79
446,125,3196,448,448,402.63
447,125,981,140,140,460.96
448,125,3012,127,127,127.17
449,126,451,151,151,112.72
450,126,1203,152,152,70.42
451,126,3211,50,50,167.24
452,126,4000,294,294,216.33
453,126,4238,92,92,28.24
454,126,3320,348,348,325.43
455,127,1835,228,228,270.49
456,127,3321,246,246,33.58
457,127,1278,442,442,336.15
458,127,1640,255,255,411.86
459,128,1572,81,0,310.67
460,128,3858,82,0,120.3
461,128,3252,265,0,439.35
462,128,122,424,0,142.53
463,128,928,499,0,335.85
464,128,2980,328,0,275.64
465,129,957,110,110,254.81
466,130,2946,313,313,147.0
467,130,552,358,358,253.1
468,131,4310,309,309,163.99
469,132,1739,422,359,195.93
470,133,1399,17,17,203.57
471,133,3952,26,26,295.99
472,133,1660,490,490,27.49
473,134,1738,368,368,295.0
474,134,368,379,379,246.79
475,134,1982,410,410,353.83
476,134,423,456,456,68.18
477,134,2720,82,82,126.19
478,135,2392,433,433,224.64
479,135,2487,132,132,360.19
480,135,1573,421,421,4.8
481,135,3300,260,260,305.16
482,136,641,161,161,138.6
483,136,616,289,289,415.89
484,136,2292,277,277,206.75
485,136,740,446,446,129.78
486,136,1271,150,150,310.7
487,136,1930,411,411,205.16
488,137,3726,198,198,124.41
489,137,3269,383,383,342.23
490,137,3598,365,365,444.66
491,137,4777,133,133,343.5
492,137,3616,479,479,402.97
493,137,3956,476,476,118.65
494,138,1416,328,328,52.74
495,139,4648,316,316,100.65
496,139,2143,110,110,113.19
497,139,1787,285,285,470.69
498,139,2957,141,141,254.81
499,139,2927,304,304,163.41
500,139,2666,177,177,475.96
501,140,4626,158,158,339.2
502,140,3573,398,398,61.31
503,140,4362,29,29,411.48
504,141,3015,249,249,84.36
505,141,4074,49,49,191.34
506,141,4936,410,410,472.62
507,142,1660,500,500,27.49
508,142,532,351,351,69.44
509,142,4358,131,131,13.19
510,142,2347,435,435,473.1
511,142,4279,282,282,87.72
512,143,4293,479,479,251.46
513,143,4605,275,275,414.26
514,143,578,173,173,173.25
515,143,38,114,114,198.2
516,143,3720,401,401,313.32
517,143,4422,180,180,2.86
518,144,3031,159,0,405.37
519,144,1729,61,0,408.16
520,144,435,196,0,350.21
521,145,1154,246,246,74.2
522,145,2170,44,44,461.4
523,146,545,298,298,392.62
524,146,1335,21,21,293.22
525,146,2603,264,264,142.67
526,146,4187,400,400,409.41
527,146,2969,166,166,195.64
528,147,179,50,50,182.83
529,147,1817,166,166,404.97
530,147,4376,254,254,298.81
531,148,4441,204,199,455.51
532,148,2792,74,5,230.83
533,149,4751,410,410,302.9
534,149,2726,35,35,239.66
535,149,2047,342,342,165.39
536,149,72,463,463,51.1
537,150,312,312,312,97.96
538,150,2538,416,416,177.43
539,150,4627,257,257,412.11
540,151,4829,463,463,82.9
541,151,4997,285,285,160.64
542,152,1385,29,29,72.34
543,152,2341,497,497,189.5
544,153,1128,410,410,148.47
545,154,1038,427,427,23.66
546,154,2531,469,469,272.59
547,154,1713,224,224,212.6
548,155,4366,326,326,97.75
549,155,212,218,218,395.66
550,156,219,347,0,352.64
551,156,4790,304,0,366.12
552,157,3655,439,439,174.5
553,157,4887,76,76,343.26
554,157,1294,421,421,226.67
555,157,513,107,107,462.59
556,157,255,464,464,309.52
557,157,593,421,421,148.46
558,158,2249,126,126,167.31
559,158,2373,332,332,313.16
560,158,1366,62,62,452.51
561,158,1353,41,41,294.46
562,158,3493,469,469,140.93
563,159,168,63,63,422.37
564,159,4499,104,104,139.16
565,159,1044,244,244,42.7
566,159,667,368,368,348.96
567,159,506,309,309,290.69
568,160,2187,155,0,280.55
569,160,4822,72,0,33.88
570,160,2180,66,0,336.52
571,160,1538,369,0,392.2
572,160,3886,298,0,325.87
573,160,4244,125,0,425.83
574,161,1813,383,383,424.99
575,161,1808,414,414,346.34
576,161,2617,135,135,347.66
577,162,3569,481,481,444.82
578,162,138,373,373,233.45
579,162,4452,259,259,479.75
580,162,3027,214,214,370.82
581,163,3540,488,0,385.86
582,163,538,273,0,166.8
583,163,115,79,0,419.4
584,164,2586,461,461,400.96
585,164,4879,375,375,280.22
586,164,4949,89,89,79.14
587,165,998,398,398,294.57
588,165,3292,442,442,8.95
589,166,3977,150,150,31.42
590,166,719,428,428,60.97
591,166,626,43,43,322.96
592,166,3343,372,372,496.4
593,166,4012,309,309,315.37
594,167,1515,202,82,23.21
595,167,2182,368,350,11.59
596,168,669,119,119,414.4
597,169,1462,64,64,131.35
598,169,1518,416,416,383.28
599,169,1401,224,224,440.34
600,169,537,60,60,48.91
601,169,1085,136,136,443.28
602,169,4148,148,148,390.88
603,170,1817,351,351,404.97
604,171,2171,116,116,328.39
605,171,2685,99,99,302.43
606,172,1516,491,325,395.63
607,172,3826,259,97,31.19
608,172,2272,239,202,266.69
609,172,2390,312,84,311.79
610,173,80,431,431,35.4
611,173,3128,422,422,344.71
612,173,4299,456,456,432.2
613,173,1954,296,296,442.84
614,174,3571,192,192,49.56
615,174,3687,259,259,361.64
616,175,4356,236,236,70.18
617,175,1623,449,449,153.57
618,175,1625,164,164,349.92
619,176,2435,49,49,480.6
620,176,4616,306,306,468.51
621,176,2190,88,88,25.62
622,176,4574,279,279,95.51
623,176,4064,25,25,456.0
624,177,2805,194,194,289.84
625,177,4022,30,30,414.36
626,177,786,257,257,118.41
627,177,2374,369,369,287.78
628,177,521,337,337,83.19
629,177,4977,204,204,348.97
630,178,336,472,472,174.81
631,178,2035,275,275,6.98
632,178,3719,91,91,121.89
633,179,1409,366,366,179.12
634,179,229,207,207,229.93
635,179,924,468,468,445.87
636,179,1246,433,433,481.25
637,179,3045,412,412,119.16
638,180,1687,211,211,208.23
639,180,692,479,479,44.94
640,180,2667,487,487,184.78
641,181,1750,418,418,150.19
642,181,3850,443,443,78.45
643,181,666,381,381,329.77
644,181,3980,85,85,114.2
645,182,4060,443,0,209.95
646,182,266,219,0,382.2
647,182,3725,415,0,268.92
648,182,476,404,0,133.2
649,182,4026,11,0,104.66
650,183,3512,374,374,118.91
651,184,4053,222,222,292.8
652,184,4267,189,189,169.33
653,184,3913,160,160,212.18
654,184,685,340,340,268.87
655,184,958,456,456,197.77
656,184,191,498,498,171.2
657,185,1669,421,421,135.8
658,186,3612,349,349,209.73
659,186,4295,418,418,323.84
660,186,1433,201,201,3.41
661,187,1325,461,461,46.83
662,187,3015,259,259,84.36
663,187,4594,382,382,177.49
664,187,2417,25,25,170.93
665,188,126,13,1,203.38
666,188,704,131,123,383.9
667,188,453,296,20,236.89
668,188,4020,472,401,480.74
669,188,4726,333,265,162.78
670,189,2415,87,35,6.31
671,190,4584,300,300,307.58
672,191,981,268,268,460.96
673,191,2971,249,249,385.21
674,191,2290,336,336,65.51
675,191,2510,449,449,416.34
676,191,4304,74,74,403.61
677,192,4117,143,20,469.88
678,192,1069,113,65,278.42
679,192,139,150,46,222.65
680,192,3671,95,6,408.29
681,192,2564,15,2,220.69
682,192,2270,463,71,11.59
683,193,3484,153,153,51.52
684,193,2017,176,176,195.95
685,194,1498,48,48,275.23
686,194,823,406,406,95.2
687,195,1455,245,245,427.47
688,195,2427,415,415,493.88
689,195,4219,52,52,31.96
690,195,495,152,152,23.89
691,195,2415,122,122,6.31
692,195,68,320,320,150.2
693,196,4850,269,269,159.66
694,197,1157,449,449,444.31
695,197,3841,170,170,354.58
696,197,4185,68,68,238.54
697,198,640,172,172,417.32
698,198,4758,331,331,432.65
699,198,4787,126,126,266.9
700,198,4293,275,275,251.46
701,198,4119,213,213,229.78
702,198,2243,440,440,405.18
703,199,1695,290,290,35.41
704,199,2843,130,130,96.0
705,200,1971,256,256,427.6
706,200,3479,118,118,416.17
707,200,2689,14,14,258.55
708,200,1060,137,137,295.27
709,201,3647,156,156,307.1
710,202,1987,103,103,397.3
711,202,726,193,193,443.59
712,202,4401,30,30,478.58
713,203,1209,497,497,492.2
714,204,3383,20,20,336.17
715,204,4922,28,28,213.22
716,205,1608,363,183,375.31
717,205,3638,238,83,465.35
718,206,4716,136,136,222.27
719,206,3370,308,308,400.69
720,206,1961,304,304,348.16
721,207,1389,113,0,56.7
722,207,2485,137,0,89.5
723,207,459,17,0,274.45
724,207,4459,407,0,312.67
725,207,3766,466,0,355.29
726,207,2001,49,0,139.71
727,208,713,406,406,412.35
728,208,3543,491,491,10.7
729,208,4432,419,419,226.42
730,208,2026,191,191,257.9
731,209,3516,264,264,78.4
732,210,2673,417,417,474.96
733,210,2950,21,21,239.23
734,210,3020,214,214,163.11
735,210,994,471,471,129.52
736,210,3875,17,17,276.8
737,210,2976,359,359,433.64
738,211,1351,268,268,112.6
739,211,3080,244,244,489.26
740,211,275,38,38,87.25
741,211,3134,459,459,82.6
742,211,1194,224,224,205.49
743,211,1608,470,470,375.31
744,212,4646,379,379,438.53
745,213,4200,252,252,396.75
746,213,2400,86,86,351.1
747,213,1154,156,156,74.2
748,213,1382,147,147,78.2
749,213,1469,189,189,193.2
750,213,1820,140,140,397.14
751,214,683,477,477,60.1
752,214,867,294,294,207.57
753,214,3964,190,190,434.45
754,214,448,289,289,194.77
755,214,948,332,332,362.25
756,215,1562,109,109,115.89
757,216,1776,369,369,471.24
758,216,1339,56,56,261.63
759,217,748,413,126,453.36
760,217,4430,183,34,58.94
761,217,2898,464,189,219.18
762,217,579,422,34,310.83
763,217,3479,355,352,416.17
764,217,336,238,197,174.81
765,218,1926,74,74,180.87
766,218,2018,212,212,82.35
767,219,2409,455,455,352.9
768,219,4883,353,353,175.3
769,219,1162,11,11,190.11
770,219,980,36,36,36.54
771,220,477,148,148,8.0
772,221,2755,375,375,406.48
773,221,4487,37,37,164.39
774,221,2686,302,302,417.45
775,221,447,306,306,115.75
776,221,1898,126,126,73.4
777,222,390,312,312,220.48
778,222,354,456,456,87.72
779,222,4381,320,320,294.17
780,223,2701,221,181,26.36
781,223,1228,260,170,16.83
782,224,3307,137,0,405.19
783,225,3149,198,198,405.93
784,225,810,59,59,117.29
785,226,2916,376,376,170.42
786,227,3375,241,241,14.26
787,228,2584,144,62,437.41
788,228,4450,358,47,170.56
789,228,598,349,179,325.95
790,228,228,253,74,152.31
791,228,1514,30,23,53.65
792,229,3051,76,76,95.26
793,229,1578,479,479,479.62
794,229,3469,374,374,477.86
795,229,4967,202,202,279.82
796,230,1808,333,333,346.34
797,230,2030,329,329,464.3
798,230,4408,170,170,210.4
799,230,4474,130,130,158.3
800,231,937,444,444,213.29
801,231,1914,491,491,188.18
802,231,814,432,432,254.5
803,231,1538,251,251,392.2
804,232,438,118,118,32.96
805,233,694,143,143,22.21
806,233,4856,95,95,132.21
807,233,4744,46,46,456.15
808,233,3607,499,499,483.14
809,234,4812,213,213,307.54
810,234,680,379,379,317.49
811,234,4107,378,378,476.69
812,234,2995,370,370,211.65
813,235,1598,458,458,278.1
814,236,3367,173,173,340.52
815,236,1192,376,376,272.9
816,237,1992,112,112,141.52
817,238,2345,29,29,288.7
818,238,1969,205,205,354.58
819,238,4229,152,152,84.77
820,238,838,299,299,466.49
821,238,1417,128,128,41.26
822,238,2427,110,110,493.88
823,239,3829,179,179,304.33
824,240,4076,262,0,318.8
825,240,3353,456,0,238.36
826,240,2722,286,0,145.3
827,240,2664,13,0,343.5
828,241,1693,410,410,362.33
829,241,4363,150,150,112.48
830,241,2244,105,105,418.9
831,242,2268,136,85,333.25
832,242,1853,37,19,352.62
833,242,996,268,256,351.35
834,243,1646,384,384,410.4
835,243,1568,450,450,205.9
836,244,316,136,136,405.6
837,244,67,259,259,171.52
838,244,2442,449,449,170.8
839,244,1284,248,248,159.61
840,245,158,319,319,113.36
841,245,3314,420,420,337.2
842,245,4346,380,380,114.42
843,245,366,264,264,346.37
844,245,2898,303,303,219.18
845,246,1702,103,0,286.18
846,246,2725,16,0,336.1
847,246,2023,293,0,210.25
848,246,3233,468,0,383.6
849,247,4106,464,464,286.67
850,247,93,125,125,147.84
851,247,2350,307,307,55.33
852,247,4099,171,171,385.71
853,247,1040,30,30,403.1
854,248,3863,420,420,476.41
855,248,692,190,190,44.94
856,248,221,80,80,261.56
857,248,3694,123,123,372.7
858,249,386,374,0,401.92
859,249,2357,192,0,204.4
860,250,2907,272,272,410.36
861,250,1511,453,453,201.44
862,250,2762,130,130,445.3
863,250,4623,146,146,263.27
864,250,3861,487,487,9.16
865,251,4541,465,465,454.31
866,251,2509,391,391,351.6
867,251,4841,306,306,317.66
868,251,1989,458,458,416.22
869,252,3516,93,93,78.4
870,252,3497,457,457,477.65
871,252,3055,342,342,36.46
872,252,507,402,402,232.95
873,253,4035,419,419,255.53
874,253,1269,401,401,7.77
875,253,1790,446,446,250.75
876,253,4840,41,41,377.48
877,253,1312,436,436,55.1
878,254,3060,436,436,243.19
879,254,2455,363,363,491.81
880,254,2930,383,383,411.9
881,254,2149,454,454,221.56
882,254,889,144,144,480.42
883,255,4316,374,374,327.8
884,255,1719,32,32,128.74
885,255,2060,11,11,269.25
886,255,2153,337,337,204.24
887,256,961,299,299,86.55
888,256,1059,301,301,359.37
889,257,2275,185,185,187.6
890,257,4035,289,289,255.53
891,257,2385,324,324,64.61
892,257,1976,31,31,227.29
893,257,2254,457,457,420.14
894,258,1597,62,62,470.69
895,258,2983,470,470,14.69
896,258,2012,314,314,432.32
897,258,155,26,26,298.66
898,258,136,440,440,37.35
899,259,3168,188,188,195.65
900,259,375,234,234,269.38
901,259,928,372,372,335.85
902,259,3830,147,147,380.66
903,260,4620,76,76,284.56
904,260,685,402,402,268.87
905,261,345,73,73,157.37
906,261,1779,476,476,212.87
907,261,4401,424,424,478.58
908,261,2192,417,417,311.59
909,261,564,85,85,399.18
910,261,4159,370,370,413.74
911,262,3781,135,135,414.57
912,262,1112,221,221,442.2
913,262,1658,255,255,384.64
914,262,4044,122,122,117.12
915,262,2250,132,132,287.54
916,262,357,408,408,125.22
917,263,4034,263,263,412.62
918,263,2816,377,377,76.86
919,264,3248,303,303,176.55
920,265,3579,384,384,226.29
921,265,532,70,70,69.44
922,265,2165,417,417,138.36
923,265,2499,329,329,147.94
924,265,4897,195,195,46.4
925,266,303,465,465,43.92
926,266,1373,74,74,35.21
927,266,3034,293,293,281.55
928,266,2816,206,206,76.86
929,266,3461,146,146,117.11
930,266,3369,19,19,28.31
931,267,68,173,0,150.2
932,267,3403,336,0,391.4
933,267,2349,352,0,415.49
934,267,3026,80,0,163.26
935,268,2353,329,276,128.77
936,268,2201,347,124,342.97
937,269,2569,74,0,100.41
938,269,4345,37,0,102.34
939,269,3773,238,0,81.82
940,269,2017,408,0,195.95
941,270,1050,177,177,66.0
