so_item_id,so_id,product_id,quantity,unit_price,discount_pct
340,101,1764,16,620.53,0
341,102,3401,20,276.91,0
342,102,4176,15,496.07,0
343,102,20,18,487.42,0
344,103,4431,17,193.38,0
345,103,4825,17,529.33,10
346,103,633,13,419.5,10
347,103,1333,18,515.6,5
348,104,3648,3,555.06,0
349,104,2012,2,605.25,10
350,105,1041,6,433.73,10
351,105,850,17,322.34,15
352,105,2710,9,32.8,0
353,105,2061,16,354.48,0
354,106,717,9,269.89,5
355,106,710,2,486.08,0
356,106,3049,13,509.82,0
357,106,3446,4,311.57,0
358,106,2129,8,182.63,0
359,107,2456,15,539.66,0
360,108,4426,9,726.92,0
361,108,665,12,527.08,5
362,108,3159,1,175.37,15
363,108,2387,7,250.5,5
364,109,3808,19,219.05,0
365,109,2049,13,132.93,15
366,109,2550,9,349.18,5
367,109,451,3,146.54,0
368,109,842,8,394.02,0
369,110,2371,17,487.49,15
370,111,2304,19,439.87,15
371,111,2732,16,790.41,0
372,111,1323,3,452.22,10
373,112,376,10,821.02,10
374,113,3146,14,272.13,0
375,113,1273,14,446.41,0
376,113,4685,2,570.57,15
377,113,4733,14,641.92,20
378,113,752,4,493.67,20
379,114,86,9,906.48,0
380,114,2265,12,7.68,10
381,114,2022,4,563.43,0
382,115,738,9,734.05,20
383,115,4600,19,541.47,0
384,115,530,4,133.45,0
385,115,1160,15,338.44,15
386,116,1785,8,360.35,20
387,116,884,7,71.76,0
388,116,807,9,229.56,10
389,116,1127,19,862.07,0
390,117,3941,12,613.35,20
391,117,1558,12,575.24,15
392,117,1630,6,424.96,20
393,117,599,4,429.43,15
394,118,523,15,105.79,20
395,119,1467,10,61.43,20
396,119,1968,16,92.69,0
397,120,4138,8,75.64,0
398,120,3826,13,47.1,0
399,120,1840,6,7.85,10
400,120,4365,10,594.27,5
401,121,721,4,671.76,20
402,121,652,9,338.24,10
403,122,3900,9,142.68,10
404,122,1726,14,428.63,5
405,122,2493,18,147.06,10
406,122,523,10,105.79,20
407,122,886,17,22.73,20
408,123,3285,20,306.01,0
409,123,223,1,290.84,15
410,123,1235,6,573.12,0
411,124,2015,3,767.21,5
412,124,1410,12,58.85,5
413,124,732,12,480.16,10
414,124,4997,12,313.25,20
415,125,1367,2,602.53,15
416,126,1570,9,376.64,5
417,126,1617,4,332.36,10
418,126,52,9,367.39,0
419,126,881,4,616.3,15
420,126,404,1,9.67,0
421,127,3551,6,15.98,0
422,128,4255,4,22.65,20
423,128,1117,12,595.88,0
424,129,2874,19,624.89,0
425,129,4899,10,241.62,0
426,129,3807,2,147.75,10
427,130,4315,20,239.78,15
428,130,3834,1,425.52,15
429,131,1491,2,414.83,0
430,132,986,2,852.21,0
431,132,3720,14,438.65,0
432,133,3844,5,380.54,5
433,133,1854,15,566.65,10
434,133,2167,5,111.41,10
435,133,416,4,451.67,15
436,134,3584,5,649.93,0
437,134,4895,3,594.19,10
438,134,413,19,288.9,15
439,134,910,12,616.97,10
440,134,4030,4,88.66,10
441,135,103,11,29.05,5
442,135,1917,2,19.86,20
443,135,395,10,460.59,0
444,135,4522,20,26.39,0
445,135,2370,2,691.96,5
446,136,2734,20,652.23,0
447,137,4102,3,700.88,0
448,137,1748,6,256.33,20
449,137,3457,1,354.32,10
450,137,513,14,680.01,0
451,137,258,19,194.43,10
452,138,3672,15,109.67,0
453,138,2782,8,584.88,0
454,139,235,13,334.91,0
455,139,1457,6,416.78,15
456,139,4608,20,396.65,5
457,139,1496,9,556.29,20
458,139,4801,4,319.23,0
459,140,3591,5,618.49,20
460,140,853,20,203.81,10
461,141,3061,11,388.43,0
462,141,2183,4,508.11,0
463,141,4222,18,524.18,15
464,142,3662,1,759.69,20
465,143,3658,3,219.71,0
466,143,4188,11,40.7,15
467,143,4403,2,237.2,20
468,144,3845,4,178.97,10
469,145,1449,2,10.17,0
470,145,2104,11,773.95,10
471,145,2736,9,487.45,0
472,145,4229,17,139.02,0
473,145,1399,14,335.89,5
474,146,1137,10,185.31,15
475,146,49,7,388.71,10
476,146,3827,2,500.08,20
477,147,653,20,219.31,0
478,148,1068,17,534.55,15
479,148,1053,13,51.64,5
480,148,2304,9,439.87,20
481,148,2969,11,371.72,5
482,148,9,12,81.51,15
483,149,4265,19,344.91,5
484,149,3538,3,171.84,0
485,149,534,18,72.4,0
486,150,594,19,526.92,20
487,150,94,6,616.71,0
488,150,3133,12,41.35,0
489,150,2235,12,111.4,0
490,150,4874,14,88.88,5
491,151,3007,10,375.14,0
492,151,1140,3,48.36,10
493,151,2910,17,354.62,0
494,151,4626,19,542.72,0
495,152,2420,1,363.26,20
496,152,4270,1,378.84,0
497,153,3223,9,912.34,5
498,153,3889,14,787.85,5
499,153,2429,11,485.48,0
500,153,2533,10,214.09,5
501,153,3108,14,206.64,15
502,154,1262,18,558.61,5
503,154,97,19,480.9,5
504,154,2232,12,255.24,0
505,154,3504,15,815.46,15
506,154,906,9,909.88,5
507,155,2516,7,717.5,5
508,155,2151,14,557.14,0
509,156,3406,13,443.82,0
510,156,3946,12,199.41,10
511,157,4818,8,536.43,10
512,158,2542,8,437.78,0
513,158,837,17,839.29,20
514,158,1733,10,854.77,20
515,158,3460,4,28.26,0
516,159,3803,1,552.69,0
517,159,1682,13,558.34,0
518,159,2189,1,295.25,5
519,159,3562,1,741.75,0
520,160,815,19,497.49,0
521,160,1548,9,830.78,0
522,160,3553,13,53.08,5
523,161,233,17,421.84,0
524,161,4439,5,534.94,15
525,161,1499,1,112.47,0
526,162,4615,15,628.84,0
527,162,4727,16,244.3,0
528,162,1441,2,73.14,0
529,162,45,12,164.63,10
530,162,1784,9,782.41,5
531,163,3202,2,220.5,20
532,163,946,6,277.16,0
533,163,2186,17,338.16,5
534,164,4093,14,333.95,0
535,164,2518,8,288.47,0
536,165,4174,6,826.04,0
537,166,4176,16,496.07,15
538,166,3157,5,552.58,10
539,166,4647,19,178.8,15
540,166,4797,19,427.37,15
541,167,896,5,244.65,20
542,167,4344,1,7.94,15
543,167,4455,17,493.73,0
544,167,1672,6,450.19,15
545,168,3597,2,409.94,15
546,168,3918,10,507.99,10
547,168,775,5,59.09,0
548,169,1039,16,155.95,5
549,169,3686,11,801.25,20
550,170,1985,11,493.55,0
551,170,3277,20,291.7,20
552,170,73,12,194.65,10
553,170,2906,17,440.72,5
554,171,2936,1,463.55,10
555,171,3720,3,438.65,0
556,172,4126,2,454.26,15
557,172,1834,1,504.25,10
558,172,182,13,566.22,10
559,173,565,19,649.82,10
560,174,630,16,584.8,20
561,174,142,12,598.52,20
562,175,2297,5,268.64,20
563,175,3329,9,611.34,0
564,175,4781,2,592.2,0
565,176,3176,8,778.41,0
566,176,4148,12,699.68,0
567,176,3502,17,516.56,0
568,176,3637,18,567.97,0
569,176,668,14,360.19,10
570,177,2247,8,372.25,20
571,178,4947,15,545.55,10
572,178,3792,7,262.01,20
573,178,4220,20,1179.75,0
574,178,2076,18,840.69,15
575,178,4446,13,217.13,15
576,179,4072,14,263.97,10
577,179,3057,1,36.89,0
578,180,1221,5,436.89,0
579,180,476,13,227.77,5
580,180,239,16,364.03,20
581,180,3976,4,383.07,15
582,181,2045,7,668.05,20
583,181,4945,18,245.26,20
584,182,587,5,865.65,0
585,182,916,17,395.14,10
586,182,1607,1,840.15,0
587,182,2899,12,930.81,15
588,183,1361,15,344.03,0
589,183,2167,6,111.41,0
590,183,2725,7,628.51,0
591,183,446,9,247.27,0
592,183,3703,12,570.23,0
593,184,2695,14,498.09,0
594,185,2620,15,896.21,20
595,185,1333,11,515.6,5
596,185,904,1,547.28,10
597,185,1214,12,489.86,5
598,186,2439,18,660.62,5
599,186,2438,4,408.19,15
600,186,2091,19,311.36,10
601,186,2981,4,25.25,0
602,186,4228,16,522.1,0
603,187,2162,10,802.46,10
604,188,4622,1,392.22,0
605,189,2577,1,857.54,0
606,189,1165,1,163.82,10
607,190,3913,9,273.71,0
608,190,202,13,243.37,0
609,190,1614,15,480.78,5
610,191,3878,7,606.97,0
611,191,1223,9,479.24,20
612,191,4821,8,132.29,0
613,191,1432,20,679.52,5
614,192,3729,3,202.14,5
615,192,3636,18,190.3,0
616,193,793,19,252.46,0
617,193,235,14,334.91,0
618,194,111,12,565.73,0
619,195,912,8,240.87,0
620,195,283,12,74.16,0
621,195,243,2,449.13,10
622,196,4495,7,248.03,0
623,196,1941,1,777.61,15
624,196,3250,11,23.75,15
625,197,8,11,580.74,20
626,197,3520,3,215.64,15
627,197,4155,16,621.83,15
628,197,3010,18,679.29,0
629,198,2170,6,553.68,0
630,198,100,6,931.82,20
631,198,4101,12,91.22,0
632,198,1014,8,312.74,0
633,198,3069,13,491.8,15
634,199,1438,6,445.44,0
635,199,2265,20,7.68,15
636,199,2865,6,186.64,0
637,199,3906,17,133.94,0
638,200,2247,18,372.25,15
639,200,1200,10,123.98,0
640,201,1222,8,145.41,15
641,201,1988,17,264.25,15
642,201,3538,8,171.84,0
643,201,1377,11,789.7,0
644,202,4291,15,294.61,15
645,202,2912,9,44.73,0
646,202,3469,13,874.48,10
647,202,3670,18,613.24,15
648,203,61,11,502.16,0
649,203,2010,4,488.15,15
650,203,4596,14,210.31,15
651,203,4161,1,110.02,10
652,204,1385,18,153.23,0
653,204,4621,6,122.93,0
654,204,3531,6,546.95,0
655,204,2585,4,191.67,10
656,204,1803,7,608.38,20
657,205,4411,3,626.77,15
658,206,3538,20,171.84,0
659,206,4825,2,529.33,5
660,206,4462,15,317.84,0
661,206,2925,16,308.9,0
662,207,2503,12,71.47,0
663,207,535,4,13.42,0
664,207,803,13,268.57,0
665,207,2956,11,658.4,0
666,208,3623,13,310.74,0
667,208,2770,6,336.29,15
668,208,3926,13,432.48,20
669,209,3391,3,397.03,20
670,210,1098,16,436.04,10
671,210,227,13,755.5,20
672,211,1900,2,138.09,20
673,212,3570,16,147.02,0
674,212,4896,8,233.89,10
675,212,2205,10,340.03,5
676,212,2929,20,195.54,15
677,213,2136,1,140.68,5
678,214,2112,15,303.06,15
679,214,1735,3,615.66,5
680,214,1381,11,93.7,10
681,214,2247,5,372.25,20
682,215,3164,7,367.87,0
683,215,553,9,526.3,0
684,215,2779,4,151.93,15
685,215,726,13,1018.45,10
686,216,4828,15,635.04,10
687,216,1014,20,312.74,15
688,216,3861,9,16.76,5
689,216,3664,5,166.81,10
690,216,4953,8,34.9,15
691,217,102,9,607.29,0
692,217,1720,18,445.69,10
693,217,2697,10,636.27,10
694,218,49,6,388.71,0
695,218,2836,15,538.13,15
696,219,4096,14,422.64,0
697,220,2262,14,1180.35,5
698,221,3683,2,477.6,5
699,221,1716,1,635.9,10
700,221,1770,5,486.19,20
701,222,1170,18,485.3,0
702,222,473,18,739.5,0
703,223,2460,3,863.17,15
704,223,1815,4,515.98,0
705,223,820,12,331.75,0
706,224,191,3,234.54,0
707,224,1840,13,7.85,0
708,224,3832,5,313.99,0
709,224,2535,18,38.51,0
710,224,723,8,197.28,5
711,225,1359,17,202.75,0
712,225,2839,14,626.92,20
713,225,1246,17,813.31,0
714,226,2042,20,150.24,15
715,227,748,20,616.57,20
716,227,1594,2,7.07,5
717,227,626,13,581.33,0
718,227,1970,4,366.99,0
719,228,382,14,66.9,20
720,228,1246,20,813.31,0
721,228,516,11,392.42,5
722,229,2838,4,561.86,0
723,229,3261,13,343.55,0
724,230,1257,18,230.87,10
725,230,786,16,217.87,0
726,230,4904,14,153.24,0
727,230,144,4,341.64,20
728,230,669,20,787.36,5
729,231,2309,3,909.72,15
730,231,2774,15,168.15,0
731,231,3701,3,530.53,5
732,231,2609,14,713.18,0
733,231,4634,14,425.73,15
734,232,3716,15,360.91,0
735,232,4323,14,775.86,0
736,232,1529,19,331.36,0
737,233,4963,3,5.16,5
738,233,1724,9,622.01,0
739,233,3136,1,136.51,15
740,234,4931,11,332.74,5
741,234,3845,6,178.97,0
742,234,312,10,152.82,5
743,235,4355,15,419.66,0
744,236,1872,17,367.65,20
745,236,4077,3,381.02,5
746,236,2752,5,307.39,10
747,236,555,5,630.99,5
748,237,4193,6,501.84,0
749,237,1382,12,141.54,5
750,238,1587,18,740.47,0
751,239,3699,7,217.32,10
752,239,453,20,469.04,0
753,239,782,18,669.91,15
754,239,4549,1,333.26,0
755,239,3470,1,166.92,0
756,240,1039,3,155.95,0
757,240,1425,9,378.32,0
758,240,3104,9,805.68,20
759,241,2020,10,583.07,20
760,242,729,8,122.13,20
761,242,3447,8,539.96,10
762,243,3266,14,583.25,0
763,244,3062,4,131.67,0
764,245,2565,4,28.6,15
765,245,1558,2,575.24,0
766,245,4515,7,519.11,0
767,245,2871,13,219.45,5
768,245,889,8,735.04,20
769,246,4385,1,311.75,10
770,246,4148,12,699.68,0
771,246,223,13,290.84,10
772,247,3813,5,281.58,0
773,248,1000,9,279.82,0
774,248,4674,1,432.28,5
775,248,873,11,467.3,0
776,248,3866,10,939.89,10
777,248,66,11,506.15,15
778,249,3022,8,607.22,0
779,250,2709,16,689.26,5
780,251,3997,8,474.22,15
781,251,1512,5,546.58,0
782,251,4721,7,880.78,0
783,251,2894,20,208.83,15
784,252,4802,9,274.11,15
785,252,2089,16,485.73,20
786,252,3590,13,364.69,10
787,252,2922,1,449.12,20
788,252,3542,17,230.17,10
789,253,2100,14,392.45,10
790,253,1253,11,427.05,0
791,253,2176,6,794.51,0
792,253,2605,17,550.74,0
793,254,456,19,151.68,15
794,255,4764,4,560.9,0
795,255,937,20,494.41,0
796,256,3100,4,535.53,5
797,257,246,9,228.42,20
798,257,4726,15,231.15,0
799,257,2262,8,1180.35,5
800,258,3898,14,513.42,20
801,258,4189,11,429.46,5
802,258,1398,17,172.87,0
803,258,1093,9,241.81,0
804,258,3272,10,322.88,10
805,259,256,6,739.18,10
806,259,965,12,907.9,0
807,259,3309,19,221.9,20
808,260,1125,10,769.16,20
809,260,3338,2,408.63,20
810,260,2355,5,175.39,20
811,260,4198,4,773.07,5
812,260,1902,14,508.07,0
813,261,4221,20,23.93,10
814,261,3311,8,198.93,0
815,261,1021,5,72.93,10
816,262,2510,5,835.99,5
817,262,3102,1,468.35,10
818,262,687,16,375.03,0
819,262,1169,20,549.79,20
820,263,2643,5,512.64,0
821,264,1795,1,128.4,20
822,264,1255,11,551.1,0
823,265,1223,15,479.24,0
824,265,52,16,367.39,10
825,265,4827,10,265.09,0
826,266,2148,16,928.17,20
827,266,1061,18,771.36,20
828,266,2818,8,577.25,10
829,267,435,12,686.41,10
830,268,4043,7,142.95,15
831,269,937,9,494.41,0
832,269,3907,14,375.24,0
833,269,3045,20,222.83,20
834,269,4229,17,139.02,20
835,269,4999,16,397.58,0
836,270,4770,2,423.96,20
837,271,4806,10,535.53,15
838,272,1383,7,596.3,15
839,272,4547,10,438.77,20
840,272,1117,12,595.88,5
841,272,4454,3,633.99,20
842,272,4991,12,360.45,20
843,273,4988,7,371.18,20
844,274,2789,5,181.42,0
845,274,573,6,316.8,15
846,274,330,11,305.46,0
847,274,3486,20,625.86,20
848,275,4717,9,133.93,10
849,275,2801,12,210.93,20
850,275,4584,18,590.55,10
851,275,536,13,579.25,5
852,275,43,10,220.42,0
853,276,4057,13,7.27,0
854,276,3040,18,437.92,0
855,276,2468,18,75.52,0
856,276,1143,13,444.66,10
857,277,3968,6,785.47,15
858,277,4246,19,692.65,0
859,277,3939,16,210.25,10
860,277,1079,12,62.82,0
861,277,459,7,658.03,0
862,278,2987,6,613.08,0
863,278,4621,8,122.93,5
864,278,2554,15,915.1,10
865,278,1327,2,758.65,20
866,278,3449,3,284.92,15
867,279,3810,5,410.12,0
868,279,1555,9,355.12,0
869,279,947,9,698.66,0
870,280,3139,20,174.56,0
871,280,4333,5,695.49,5
872,281,2201,12,506.9,15
873,281,3131,13,184.0,0
874,281,3890,15,488.34,20
875,281,2997,12,185.47,0
876,282,2432,3,179.32,0
877,282,4580,13,518.01,0
878,282,666,1,593.59,20
879,283,3464,5,351.42,0
880,283,2854,3,199.63,20
881,283,3060,14,316.15,0
882,283,3520,7,215.64,5
883,283,2251,6,167.49,0
884,284,1322,15,502.27,10
885,284,3063,14,95.11,0
886,284,2387,2,250.5,5
887,284,2869,2,206.59,0
888,284,1946,2,739.72,0
889,285,3615,8,642.57,15
890,285,1316,4,762.25,5
891,286,526,7,677.89,0
892,286,299,18,457.91,0
893,287,2277,4,244.16,0
894,288,2206,18,466.31,5
895,288,4871,16,366.27,15
896,288,3170,14,79.94,0
897,288,3540,20,474.61,0
898,289,1176,19,374.95,0
899,289,2528,16,234.55,10
900,289,3509,10,197.13,20
901,289,1029,14,295.39,0
902,289,4307,13,695.23,0
903,290,2265,8,7.68,0
904,291,2166,15,634.93,0
905,291,1181,14,217.42,0
906,291,301,9,741.13,5
907,292,4130,2,556.37,5
908,292,2890,10,361.78,0
909,292,4885,7,619.39,15
910,292,2143,7,166.39,5
911,292,1645,13,585.95,20
912,293,4322,14,243.58,10
913,293,1767,8,150.73,0
914,293,2126,4,835.43,0
915,293,2636,18,536.02,20
916,294,2706,10,565.46,5
917,294,4839,4,403.58,5
918,294,1045,7,416.17,0
919,294,4016,7,734.29,0
920,294,4678,4,406.03,0
921,295,1573,9,6.62,5
922,296,3011,11,318.83,0
923,296,570,5,250.39,10
924,297,195,12,597.2,15
925,297,2194,14,671.51,15
926,297,2137,10,716.84,20
927,297,2026,20,420.38,0
928,298,2227,3,658.13,15
929,298,831,12,99.06,0
930,298,4140,1,200.49,15
931,299,4427,6,626.81,15
932,299,3248,18,333.67,5
933,300,4656,19,130.54,5
934,301,914,8,677.21,15
935,301,4337,3,270.39,15
936,301,2149,9,436.47,0
937,301,9,16,81.51,20
938,302,2598,19,769.31,20
939,303,2577,11,857.54,5
940,303,787,18,512.84,10
941,303,4544,16,144.88,0
942,304,2558,2,721.89,10
